|segment|distance(unit: m)|frequency|span(unit: s)|routeNumber
56|仁恒星园-香洲区府|662.8093384912129|14|248.76400000000004|1
57|香洲区府-南村|382.1983707168761|5|97.20300000000002|1
58|南村-兴业中|1613.777863698512|22|378.37700000000007|1
59|兴业中-南方软件园|15931.417133305487|110|1942.5829999999996|1
60|明珠中-翠微|870.4083346566543|12|262.76800000000003|1
61|翠微-仁恒星园|2737.801229755429|47|755.2909999999999|1
62|仁恒星园-香洲区府|651.8566340434853|13|229.41600000000005|1
63|香洲区府-南村|354.5312328002507|4|82.179|1
64|南村-兴业中|2128.967872264755|39|678.1819999999999|1
65|兴业中-南方软件园|12803.529769524728|113|2015.2909999999997|1
66|明珠中-翠微|870.4083346566543|12|262.76800000000003|1
67|翠微-仁恒星园|2737.801229755429|47|755.2909999999999|1
68|仁恒星园-香洲区府|651.8566340434853|13|229.41600000000005|1
69|香洲区府-南村|354.5312328002507|4|82.179|1
70|南村-兴业中|2128.967872264755|39|678.1819999999999|1
71|兴业中-南方软件园|12803.529769524728|113|2015.2909999999997|1
72|明珠中-翠微|853.601512857276|13|240.61399999999998|1
73|翠微-仁恒星园|2720.8414411470867|41|694.8300000000003|1
74|仁恒星园-香洲区府|564.0131226917435|9|164.07100000000003|1
75|香洲区府-南村|435.80969374100255|8|144.456|1
76|南村-兴业中|1948.6332434648134|61|981.6540000000003|1
77|兴业中-南方软件园|15660.521434373035|132|2043.068|1
78|明珠中-翠微|823.6771215593034|11|646.861|1
79|翠微-仁恒星园|2702.8341829892706|39|634.035|1
80|仁恒星园-香洲区府|620.4685518190512|12|213.38300000000004|1
81|香洲区府-南村|388.9139405564047|5|97.313|1
82|南村-兴业中|1876.6911734333478|38|665.88|1
83|兴业中-南方软件园|15285.20401708552|120|2135.695|1
84|明珠中-翠微|882.0460010002995|10|415.379|1
85|翠微-仁恒星园|2726.996568763321|34|561.4230000000001|1
86|仁恒星园-香洲区府|654.3090609381921|14|249.78500000000003|1
87|香洲区府-南村|346.89291609183994|3|64.279|1
88|南村-兴业中|1851.208489019085|26|422.6180000000001|1
89|兴业中-南方软件园|15977.731896646352|122|1811.9059999999995|1
90|明珠中-翠微|874.9620821743213|12|248.014|1
91|翠微-仁恒星园|2747.721166057879|44|743.9820000000002|1
92|仁恒星园-香洲区府|659.5809870381404|14|244.46000000000004|1
93|香洲区府-南村|384.69503649776016|6|112.72300000000001|1
94|南村-兴业中|1851.7946072851785|24|411.638|1
95|兴业中-南方软件园|15768.330442168157|123|2048.996|1
96|明珠中-翠微|874.9620821743213|12|248.014|1
97|翠微-仁恒星园|2747.721166057879|44|743.9820000000002|1
98|仁恒星园-香洲区府|659.5809870381404|14|244.46000000000004|1
99|香洲区府-南村|384.69503649776016|6|112.72300000000001|1
100|南村-兴业中|1851.7946072851785|24|411.638|1
101|兴业中-南方软件园|15768.330442168157|123|2048.996|1
102|明珠中-翠微|406.10366926736987|9|130.49|1
103|翠微-仁恒星园|2640.8118208124024|31|533.395|1
104|仁恒星园-香洲区府|682.7676429669663|13|231.03200000000004|1
105|香洲区府-南村|428.06149370417626|4|96.35400000000001|1
106|南村-兴业中|1875.1962484750893|26|443.06300000000005|1
107|兴业中-南方软件园|15813.949881250766|135|2233.196|1
108|明珠中-翠微|901.7947117062098|9|447.48|1
109|翠微-仁恒星园|2753.1017557424643|36|609.605|1
110|仁恒星园-香洲区府|636.0287958658739|11|193.61800000000002|1
111|香洲区府-南村|395.24433643745226|4|80.306|1
112|南村-兴业中|1892.3717179603764|32|544.2390000000001|1
113|兴业中-南方软件园|15475.081133359765|115|1922.957000000001|1
114|明珠中-翠微|981.0223373705553|10|298.10200000000003|1
115|翠微-仁恒星园|2735.379847934804|30|520.6990000000001|1
116|仁恒星园-香洲区府|676.5758703996354|14|246.86200000000005|1
117|香洲区府-南村|340.38078409770895|4|84.083|1
118|南村-兴业中|1882.3478979688257|28|473.6|1
119|兴业中-南方软件园|11309.124803762897|17|37070.090000000004|1
120|明珠中-翠微|833.5321130953616|9|526.6850000000001|1
121|翠微-仁恒星园|2722.8762260089215|31|529.7510000000001|1
122|仁恒星园-香洲区府|670.6075228101238|7|130.16|1
123|香洲区府-南村|344.030595106953|4|82.07300000000001|1
124|南村-兴业中|1865.8772745437366|27|467.83299999999997|1
125|兴业中-南方软件园|15679.995664852537|114|1890.4099999999999|1
126|明珠中-翠微|792.9269392195018|9|359.279|1
127|翠微-仁恒星园|2799.757383423635|31|523.1629999999999|1
128|仁恒星园-香洲区府|610.6402365135513|12|212.37900000000005|1
129|香洲区府-南村|318.884256577179|2|50.861000000000004|1
130|南村-兴业中|1891.0314132090625|33|531.3590000000002|1
131|兴业中-南方软件园|15678.681955168544|112|1892.537000000001|1
132|明珠中-翠微|792.9269392195018|9|359.279|1
133|翠微-仁恒星园|2799.757383423635|31|523.1629999999999|1
134|仁恒星园-香洲区府|610.6402365135513|12|212.37900000000005|1
135|香洲区府-南村|318.884256577179|2|50.861000000000004|1
136|南村-兴业中|1891.0314132090625|33|531.3590000000002|1
137|兴业中-南方软件园|15678.681955168544|112|1892.537000000001|1
138||0|0|0|1
139|翠微-仁恒星园|3208.783806345285|23|917.7560000000002|1
140|仁恒星园-香洲区府|675.972007241368|16|275.49000000000007|1
141|香洲区府-南村|337.52988488039256|3|64.18700000000001|1
142|南村-兴业中|1842.686187739258|21|379.4360000000001|1
143|兴业中-南方软件园|15855.86941291179|153|2518.656|1
144|明珠中-翠微|805.9580650046025|10|422.41400000000004|1
145|翠微-仁恒星园|2752.9356851879907|40|668.144|1
146|仁恒星园-香洲区府|644.1110399909845|14|241.802|1
147|香洲区府-南村|367.90608764894876|3|64.191|1
148|南村-兴业中|1817.978037208981|24|424.84|1
149|兴业中-南方软件园|15755.54576358909|115|1984.926999999999|1
